id,retailer,fascia,store_name,add_one,add_two,town,suburb,postcode,long_wgs,lat_wgs,bng_e,bng_n,pqi,open_date,size_band,county
1010013885,Sainsburys,Sainsburys Local,Sainsburys Westminster Marsham Street Local,78-98 Marsham Street,,London,Westminster,SW1P 4LY,-0.1293567527440136,51.49465349614153,529956.9415071774,178959.8782002352,Rooftop,20179999.0,"< 3,013 ft2 (280m2)",Greater London
1010006871,Whole Foods Market,Whole Foods Market,Whole Foods Piccadilly,20 Glasshouse St,,London,Soho,W1B 5AR,-0.1362116867790734,51.5105583745271,529436.0715057709,180716.41820576624,Rooftop,20120522.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010010086,The Co-operative Group,The Co-operative Food,Co-op Soho - Berwick Street,104-105 Berwick Street,Berwick Street,London,Soho,W1F 0QS,-0.1345431160483083,51.51283842761236,529545.3915060424,180972.9182069224,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010001615,Marks and Spencer,Marks and Spencer,M&S Marble Arch,458 Oxford Street,,London,Marylebone,W1C 1AP,-0.1544915883942271,51.51423032008782,528157.3215024548,181092.60820478943,Rooftop,,"30,138 ft2 > (2,800 m2)",Greater London
1010015311,The Co-operative Group,The Co-operative Food,Co-op Portman Square,12 Baker Street,,London,Marylebone,W1U 3AA,-0.1547483801575539,51.516758969822575,528132.4136886718,181373.3547272897,Rooftop,20181199.0,"< 3,013 ft2 (280m2)",Greater London
1010021028,Tesco,Tesco Express,Tesco Dominion London Express,267 Tottenham Court Road,,London,Fitzrovia,W1T 7RQ,-0.1303344239185926,51.51686131593517,529825.9906609635,181427.7300697508,Rooftop,20230299.0,"< 3,013 ft2 (280m2)",Greater London
1010010812,Iceland,Iceland,Iceland Kentish Town,301-305 Kentish Town Road,,London,Kentish Town,NW5 2TJ,-0.14116670175174,51.54954811602047,528982.0861044129,185043.4887209801,Rooftop,,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010009075,The Co-operative Group,The Co-operative Food,Co-op Kentish Town,250-254 Kentish Town Road,Kentish Town,London,Kentish Town,NW5 2AB,-0.1406704585564299,51.54955365501765,529016.4756045025,185044.9791210444,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010005397,Tesco,Tesco Express,Tesco Kentish Town Express,199-203 Kentish Town Road,Kentish Town,London,Kentish Town,NW5 2JU,-0.1419821644561484,51.54699476136408,528932.7615042994,184758.1082198213,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010003725,Sainsburys,Sainsburys Local,Sainsburys Kentish Town Local,329-333 Kentish Town Road,Kentish Town,London,Kentish Town,NW5 2TJ,-0.1409787667069466,51.55035283613412,528992.8415044369,185133.3082213301,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010015530,Aldi,Aldi Local,Aldi Camden High Street,125-133 Camden High St,,London,Camden Town,NW1 7JR,-0.1418382957571812,51.53746003237735,528969.6691631327,183698.0595630549,Rooftop,20190627.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010021367,Tesco,Tesco Express,Tesco Chalk Farm Express,4-8 Haverstock Hill Chalk Farm,,London,Chalk Farm,NW3 2BL,-0.1531928133686236,51.54432388887811,528162.9676549413,184441.4113595393,Rooftop,20230629.0,"< 3,013 ft2 (280m2)",Greater London
1010003717,Sainsburys,Sainsburys Local,Sainsburys Mornington Crescent Local,10-12 Camden High Street,,London,Camden Town,NW1 0JH,-0.1387796945019708,51.53505307671346,529188.5915050196,183435.7882153908,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010015360,Aldi,Aldi Local,Aldi Archway,Unit 681-689 Holloway Rd,,London,Upper Holloway,N19 5SE,-0.1339820819186834,51.56514490985455,529435.9528957956,186790.6031395952,Rooftop,20181129.0,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Greater London
1010014975,The Co-operative Group,The Co-operative Food,Co-op Dalston - Stoke Newington Road,37-47 Stoke Newington Road,,London,Stoke Newington,N16 8BJ,-0.0752025633991803,51.55197109791999,533548.351816141,185431.2171308276,Rooftop,20189999.0,"< 3,013 ft2 (280m2)",Greater London
1010003664,Sainsburys,Sainsburys Local,Sainsburys Finsbury Park Stroud Green Road Local,17 Stroud Green Road,,London,Finsbury Park,N4 3ED,-0.1077186089865502,51.56645252093762,531252.4415101775,186982.78823236795,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010015478,Sainsburys,Sainsburys Local,Sainsburys Hackney Clissold Quarter Local,255 - 259 Green Lanes,Finnsbury Park,London,Brownswood Park,N4 2UX,-0.0921584183139631,51.56263762861875,532341.9105167696,186586.57727063133,Rooftop,20199999.0,"< 3,013 ft2 (280m2)",Greater London
1010005285,Tesco,Tesco Express,Tesco Seven Sisters Rd Express,268-270 Seven Sisters Road,Seven Sisters,London,Finsbury Park,N4 2HY,-0.1051169993423512,51.56420890866748,531439.2115106698,186737.95823179977,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010014245,Sainsburys,Sainsburys Local,Sainsburys Hackney Woodberry Down Local,147 Woodberry Grove,,London,Stamford Hill,N4 2SB,-0.0895309811064231,51.57163611687928,532497.8776133503,187591.99823691847,Rooftop,20179999.0,"< 3,013 ft2 (280m2)",Greater London
1010003660,Sainsburys,Sainsburys Local,Sainsburys Archway Local,643-645 Holloway Road,,London,Upper Holloway,N19 5SS,-0.1319045828587368,51.564321822839695,529582.277169606,186702.74824668112,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010020594,Tesco,Tesco Express,Tesco Matthias Road Express,48 Matthias Road,Hackney,London,Stoke Newington,N16 8LH,-0.081104143642435,51.55209597404308,533138.8487015438,185434.35339924897,Rooftop,20221299.0,"< 3,013 ft2 (280m2)",Greater London
1010003667,Sainsburys,Sainsburys Local,Sainsburys Islington Mercers Road Local,465 Holloway Road,,London,Holloway,N7 6LE,-0.1233696846744431,51.5601187606749,530185.8131347782,186250.49490665103,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010004885,Tesco,Tesco Express,Tesco Lower Clapton Rd Express,144-146 Lower Clapton Road,Clapton,London,Lea Bridge,E5 0QJ,-0.0543617590335606,51.55520547556965,534983.6115197929,185829.1182349355,Rooftop,,"< 3,013 ft2 (280m2)",Greater London
1010003209,Sainsburys,Sainsburys,Sainsburys Dulwich,80 Dog Kennel Hill,,London,East Dulwich,SE22 8BB,-0.0851128205792808,51.46202565253556,533123.0015153987,175410.99819303118,Rooftop,,"30,138 ft2 > (2,800 m2)",Greater London
